# 引擎硬编码串翻译表 ja<TAB>zhCN（换行写作 \n）
いいえ	否
戻る	返回
その他	其他
キーボード入力: %s	键盘输入：%s
環 いろは	环彩羽
不思議な夢の真相を探るべく、神浜市にやってきた魔法少女。お人好しな性格で、気遣いが行き過ぎてしまうことも多々ある。最新の流行には疎く、スマホの扱いもぎこちない。日頃は控えめだが、ここ一番では芯の強さを見せる。	为探寻奇怪梦境的真相而来到神滨市的魔法少女。喜欢去帮助他人，经常过于热心反而帮倒忙。@对时下流行不太敏感，也不擅长使用智能手机。平时性格内向，但在紧要关头会表现出坚强的一面。
(CV:麻倉もも)	(CV：麻仓桃)
通信エラー	通信错误
ネットワーク接続に失敗しました。再接続しますか？	网络连接失败。要重新连接吗？
データダウンロード	数据下载
魔法少女の画像や音声、ムービー等、ゲームに必要なデータをダウンロードします。	下载魔法少女的图像，声音和动画等，游戏中必要的数据。
「ダウンロードしない」を選択した場合、ボイス、ムービーは再生されません。	如选择“不下载”，将无法播放语音和动画。
※ゲーム開始後に変更、再ダウンロードすることも可能です。	※游戏开始后可以进行更改和再次下载。
データ数が多いためWi-Fi環境でのダウンロードをお勧めします。\nプロローグ中もダウンロードを継続していますのでWi-Fi環境でのプレイをお勧めします。	数据量较大，建议在Wi-Fi环境下下载。\n序章期间也会继续下载，建议在Wi-Fi环境下游玩。
データの整合性チェック中です。	正在检查数据完整性。
ダウンロードエラー	下载错误
ダウンロードしたファイルを保存できません。\n端末の空き容量などご確認ください。	无法保存已下载的文件。\n请检查设备的剩余空间。
リトライ	重试
データのダウンロード開始します。	开始下载数据。
【データサイズ：	【数据量：
※Wi-Fi環境でのダウンロードをお勧めします。	※建议在Wi-Fi环境下下载。
後でダウンロード	稍后下载
Wi-Fiなど安定した通信環境をお勧めいたします。	建议使用Wi-Fi等稳定的网络环境。
10連 - レアカード	10连 - 稀有卡牌
単発 - レアカード	单抽 - 稀有卡牌
単発 - 通常カード	单抽 - 普通卡牌
単発 - レアメモリア	单抽 - 稀有记忆结晶
単発 - 通常メモリア	单抽 - 普通记忆结晶
使用禁止文字列が含まれています。	含有禁止使用的字符。
プレイヤー名を入力してください	请输入玩家名
※後から変更可能です（当日中の変更はできません）	※以后可以更改（当天不可更改）
入力エラー	输入错误
APが全回復しました！	AP已全部回复！
に問題があります！】\n	有问题！】\n
]は禁止です!! (	]禁止使用!! (
敵からのダメージを 	使来自敌方的伤害无效化
だけ無効化する	点
デバフを反射します	反射减益
（あと	（剩余
敵から受けるダメージが 	受到敌方的伤害提升 
上昇する	
プールシャッフル	行动盘池洗牌
ディスク再配布	重新分配行动盘
ナビ再配布	重新分配Navi
所持なし	未持有
使用済み	已使用
対象なし	无目标
隣接してない	非相邻
発動済み	已发动
助っ人不可	不可使用支援
アクセル	Accele
ブラスト	Blast
チャージ	Charge
マギア	Magia
MPゲージ	MP计量表
Cディスク	C行动盘
MPブーストUp	MP增幅
ドッペル	魔女化身
チャージ後攻撃弱点	Charge后攻击弱点
被ダメージ上昇	受到伤害提升
コネクト	连携
フィールド	场地
マギアストーン5個を消費して\n魔法少女のHPを全回復しますか？	消耗5个魔法石，\n要全部回复魔法少女的HP吗？
決定後、すぐにアイテムが購入されマギアストーンが消費されます。\nマギアストーンは無償分から先に消費され、決定後のキャンセルはできません。	确定后将立即购买道具并消耗魔法石。\n魔法石优先消耗免费部分，确定后无法取消。
マギア・スキル発動	发动Magia·技能
マギア・スキルを所持しておりません。	未持有Magia·技能。
発動する	发动
あと 	还有
エントリー	报名
エントリー中	报名中
スキル：	技能：
マギア：	Magia：
ドッペル：	魔女化身：
マギアUp	Magia提升
マギアによるダメージが上昇	Magia伤害提升
悪い状態にかかる確率が減少	陷入状态异常的概率降低
アクセルUp	Accele提升
アクセルディスク使用時のマギアゲージ獲得量が上昇	使用Accele圆盘时的MP获得量提升
チャージUp	Charge提升
チャージを消費した際のダメージが上昇	消耗Charge时伤害提升
ブラストUp	Blast提升
ブラストディスクのダメージが上昇	Blast行动盘的伤害提升
攻撃力が減少	攻击力下降
防御力が減少	防御力下降
与えるダメージを減少	造成的伤害下降
マギアDown	Magia下降
マギアによるダメージが減少	Magia伤害下降
悪い状態にかかる確率が上昇	陷入状态异常的概率提升
アクセルDown	Accele下降
アクセルディスク使用時のマギアゲージ獲得量が減少	使用Accele圆盘时的MP获得量下降
チャージDown	Charge下降
チャージを消費した際のダメージが減少	消耗Charge时的伤害下降
ブラストDown	Blast下降
ブラストディスクのダメージが減少	Blast圆盘伤害下降
MPゲージダウン	MP槽下降
スタン	麻痹
行動不能＋弱点属性からのダメージが上昇	无法行动＋受到弱点属性伤害提升
行動不能＋弱点属性からのダメージが上昇＋HP回復不能	无法行动＋受到弱点属性伤害提升＋HP无法回复
毎ターンダメージ	每回合受到伤害
やけど	灼伤
毎ターンダメージ＋弱点属性からのダメージが上昇	每回合伤害＋受到弱点属性伤害提升
呪い	诅咒
毎ターンダメージ＋弱点からのダメージが上昇＋HP回復不能	每回合伤害＋受到弱点伤害提升＋HP无法回复
確率で攻撃が失敗	概率攻击失败
確率で攻撃が失敗＋弱点属性からのダメージが上昇	概率攻击失败＋受到弱点属性伤害提升
確率で攻撃が失敗＋弱点属性からのダメージが上昇＋HP回復不能	概率攻击失败＋受到弱点属性伤害提升＋HP无法回复
スキル不可	禁止技能
スキルが使用不能	无法使用技能
マギア不可	Magia不可
マギアが使用不能	无法使用Magia
クリティカル	暴击
確率で与えるダメージが大きく上昇	一定概率使给予伤害大幅度提升
受けるダメージが減少	受到伤害减少
確率で攻撃を回避	概率回避攻击
攻撃対象の回避を無効化	使攻击对象的回避无效
毎ターンHP回復	每回合回复HP
スキルクイック	技能加速
スキルの発動待ちターンが減少	技能发动所需等待回合数减少
確率で攻撃対象の防御力を無視して攻撃	概率无视攻击目标的防御力进行攻击
カウンター	反击
確率で敵の攻撃後に反撃	概率在敌方攻击后反击
確率で味方の攻撃後に攻撃	概率在我方攻击后追击
カウンター無効	反击无效
攻撃対象のカウンターを無効化	使攻击对象的反击技能无效
HP連動マギアアップ	HP联动Magia提升
残HPが低いほどマギアのダメージが上昇	剩余HP越低，Magia伤害越高
耐える	忍耐
致死ダメージを受けてもHP1で生存	受到致死量伤害时，能够以HP1的状态存活
敵の攻撃時、ターゲットを自分に変更	敌方攻击时，将目标改为自己
かばう	庇护
仲間の代わりに攻撃を受ける	代替队友承受攻击
状態異常ダメージアップ	异常状态伤害提升
攻撃対象が悪い状態時に与えるダメージが上昇	攻击目标处于状态异常时，造成的伤害提升
サヴァイヴ	Survive
致死ダメージを受けても1ターン生存、次ターンにHP回復	受到致命伤害也存活1回合，下回合回复HP
毎ターンMP回復	每回合回复MP
ダメージカット無視	无视伤害削减
攻撃対象のダメージカットを無効化	使攻击对象的伤害削减效果无效化
Acceleダメージカット	Accele伤害削减
Acceleによるダメージが減少	Accele造成的伤害减少
Blastダメージカット	Blast伤害削减
Blastによるダメージが減少	Blast造成的伤害减少
Chargeダメージカット	Charge伤害削减
Chargeによるダメージが減少	Charge造成的伤害减少
Charge後ダメージカット	Charge后伤害削减
チャージ後のみダメージを減少	仅减少Charge后的伤害
マギアダメージカット	Magia伤害削减
火属性ダメージカット 	火属性伤害削减
火属性からのダメージが減少	受到火属性的伤害减少
水属性ダメージカット	水属性伤害削减
水属性からのダメージが減少	受到水属性的伤害减少
木属性ダメージカット	木属性伤害削减
木属性からのダメージが減少	受到木属性的伤害减少
光属性ダメージカット	光属性伤害削减
光属性からのダメージが減少	受到光属性的伤害减少
闇属性ダメージカット	暗属性伤害削减
闇属性からのダメージが減少	受到暗属性的伤害减少
無属性ダメージカット	无属性伤害削减
無属性からのダメージが減少	受到无属性的伤害减少
クリティカル無効	暴击无效
受けたクリティカルを1回無効にする	使受到的暴击无效1次
対魔女ダメージアップ	对魔女伤害提升
魔女へのダメージが上昇	对魔女伤害提升
CディスクダメージUp	Charge圆盘伤害提升
チャージディスクのダメージが上昇	Charge行动盘造成的伤害上升
CディスクダメージDown	Charge圆盘伤害下降
チャージディスクのダメージが減少	Charge圆盘造成的伤害减少
MP100以上の際にMPゲージアップ	MP在100以上时MP充能条增加
チャージコンボプラス	Charge连击数附加
チャージコンボ時のコンボ数UP	Charge连击时连击数提升
デバフ無効	减益无效
1回デバフを無効化する	使减益无效1次
敵陣の挑発を無視する	无视敌方挑衅
ドッペルUp	魔女化身提升
ドッペルによるダメージが上昇	魔女化身伤害提升
弱体[アクセル]	弱化[Accele]
アクセルディスクによる被ダメージが上昇	受到来自Accele行动盘的伤害上升
弱体[ブラスト]	弱化[Blast]
ブラストディスクによる被ダメージが上昇	受到来自Blast行动盘的伤害上升
弱体[チャージ]	弱化[Charge]
チャージを消費した攻撃による被ダメージが上昇	受到消耗Charge的攻击伤害提升
弱体[チャージＤ]	弱化[Charge D]
チャージディスクによる被ダメージが上昇	受到来自Charge行动盘的伤害上升
ブラスト時MPゲージUp	Blast攻击时MP槽提升
ブラストディスクでの攻撃時にMPゲージUp	Blast圆盘攻击时MP槽提升
水属性攻撃による被ダメージが上昇	受到水属性攻击伤害提升
被攻撃時MPゲージUp	受击时MP槽提升
通常攻撃を受けた時にMPゲージUp	受到普通攻击时MP槽提升
光属性攻撃による被ダメージが上昇	受到光属性攻击伤害提升
ヴァリアブル	Variable
敵の属性を問わず、自身の攻撃を属性有利として扱う	无视敌方属性，自身攻击视为属性克制
闇属性攻撃による被ダメージが上昇	受到暗属性攻击伤害提升
受けた状態異常を1回無効にする	使受到的状态异常无效1次
Charge消費なし	Charge无消耗
自身の攻撃時、確率でチャージを消費せずに攻撃を行う	自身攻击时，概率不消耗Charge进行攻击
火属性の攻撃力が上昇	火属性攻击力提升
闇属性の攻撃力が上昇	暗属性攻击力提升
光属性の攻撃力が上昇	光属性攻击力提升
水属性の攻撃力が上昇	水属性攻击力提升
木属性の攻撃力が上昇	木属性攻击力提升
木属性攻撃による被ダメージが上昇	受到木属性攻击伤害提升
状態異常の種類数に応じて被ダメージが上昇	所受伤害随状态异常种类数增加而提升
バリア	屏障
瀕死時に攻撃力が上昇	濒死时攻击力提升
瀕死時に防御力が上昇	濒死时防御力提升
火属性攻撃による被ダメージが上昇	受到火属性攻击伤害提升
デバフ反射	减益反射
クエストデータの読み込みに失敗しました。	关卡数据读取失败。
クエスト結果データの確認に失敗しました。	关卡结果数据确认失败。
リプレイ再生の終了	结束回放
コンテニューに失敗しました。	续关失败。
予期せぬエラーが発生しました。	发生了意外错误。
ターン有効	回合内有效
スキル使用	使用技能
フィールド効果	场地效果
ステータス変化	状态变化
残ターン ∞	剩余回合 ∞
残ターン	剩余回合
ディスク・スキル	行动盘·技能
※スキル長押しで詳細を表示	※长按技能显示详情
JCリプレイバージョンが古いため再生できません。\nクエストリプレイを中断します。	JC回放版本过旧，无法播放。\n将中断关卡回放。
キャンセル	取消
全バトルON	所有战斗均开启
ボス戦時のみON	仅首领战时开启
全バトルOFF	所有战斗均关闭
ミッション内容	任务内容
本当にリタイアしますか?	确定要放弃吗？
ヘルプ	帮助
オート設定	自动设置
リタイア	放弃
獲得したEXP・カースチップ(CC)・宝箱は\n入手できなくなります	得到的EXP·诅咒晶片（CC）·宝箱将\n无法获取。
エラーコード：	错误代码：
ネットワーク接続に失敗しました。	网络连接失败。
クエスト再開	继续关卡
進行中のクエストを再開しますか？\n再開しない場合、APのみ消費されます。	要继续进行中的关卡吗？\n不继续将只消耗AP。
再開する	继续
再開しない	不继续
ストーリー中断	中断剧情
ストーリーの鑑賞を中断しますか？\n次回、中断したシーンから再開できます。\n※既に中断データがある場合、上書きされます。	要停止观看剧情吗？\n下次可从中断的场景继续观看。\n※若已有中断数据，该数据将被覆盖。
スキップ確認	跳过确认
次の選択肢までスキップします。\nよろしいですか？	将跳过至下一个选项。\n确定吗？
／8文字	／8个字符
発動可能	可发动
戦闘不能中	战斗不能中
発動不可	不可发动
準備中	准备中
状態異常中	状态异常中
使用禁止	禁止使用
防御力	防御力
異常耐性	状态异常耐性
Blast弱点	Blast弱点
水属性攻撃弱点	水属性攻击弱点
火属性攻撃弱点	火属性攻击弱点
木属性攻撃弱点	木属性攻击弱点
光属性攻撃弱点	光属性攻击弱点
闇属性攻撃弱点	暗属性攻击弱点
無属性攻撃弱点	无属性攻击弱点
火属性攻撃力	火属性攻击力
闇属性攻撃力	暗属性攻击力
光属性攻撃力	光属性攻击力
水属性攻撃力	水属性攻击力
木属性攻撃力	木属性攻击力
再開確認	回到战斗确认
攻撃力Up	攻击力提升
防御力Up	防御力提升
状態異常耐性Up	状态异常耐性提升
